id,filepath,stability_jaguar_only,stability_bg_only,is_spurious,spurious_margin
Kamaikua,train_0589.png,0.4216713607311249,0.21207165718078613,False,-0.20959970355033875
Estella,train_0430.png,0.830765426158905,-0.10597868263721466,False,-0.9367441087961197
Solar,train_1742.png,0.8146752119064331,0.18410183489322662,False,-0.6305733770132065
Benita,train_0389.png,0.7964833974838257,0.001134634017944336,False,-0.7953487634658813
Jaju,train_0560.png,0.9099637269973755,0.27095484733581543,False,-0.6390088796615601
Pixana,train_1583.png,0.8218955993652344,0.017685236409306526,False,-0.8042103629559278
Marcela,train_1061.png,0.8409832119941711,0.04500211775302887,False,-0.7959810942411423
Medrosa,train_0059.png,0.8395819067955017,0.18358214199543,False,-0.6559997648000717
Ariely,train_0257.png,0.6371520161628723,0.1325639933347702,False,-0.5045880228281021
Katniss,train_0708.png,0.8688675165176392,0.2401999533176422,False,-0.628667563199997
