gallery_protocol,method_type,method_name,runs,mean_mAP,median_mAP,max_mAP,mean_rank1,max_rank1
trainval_gallery,oracle,oracle,10,0.8489025041966102,0.8544555258495345,0.8567901419567724,0.9564024390243901,0.9603658536585366
trainval_gallery,fusion,score_fusion,10,0.8294929810681257,0.8361206679924251,0.8491289821628799,0.9414634146341463,0.9542682926829268
trainval_gallery,fusion,embedding_concat,10,0.8240285072879729,0.8320515170181209,0.8473618714932272,0.9390243902439025,0.9542682926829268
trainval_gallery,single,EVA-02,10,0.7398314910417425,0.7398314919604458,0.7398314981799344,0.929878048780488,0.929878048780488
trainval_gallery,single,DINO-Small,1,0.7199924364766084,0.7199924364766084,0.7199924364766084,0.8689024390243902,0.8689024390243902
trainval_gallery,single,MiewID,9,0.7061458599879641,0.7061458763277152,0.7061459146754442,0.8689024390243902,0.8689024390243902
trainval_gallery,single,ConvNeXt-V2,6,0.6836153990880144,0.6836153935436354,0.6836154143145579,0.8780487804878049,0.8780487804878049
trainval_gallery,single,DINOv2-Base,1,0.6190902149757299,0.6190902149757299,0.6190902149757299,0.8658536585365854,0.8658536585365854
trainval_gallery,single,EfficientNet-B4,1,0.5618160989553405,0.5618160989553405,0.5618160989553405,0.8353658536585366,0.8353658536585366
trainval_gallery,single,MegaDescriptor-L,2,0.5214323854839368,0.5214323854839368,0.5214323854839368,0.8536585365853658,0.8536585365853658
valonly_gallery,oracle,oracle,10,0.8021348341514798,0.809805100805072,0.8122667183876786,0.9155339805825244,0.9320388349514565
valonly_gallery,fusion,score_fusion,10,0.7854622845768083,0.7977864772273222,0.8106637021965954,0.8601941747572817,0.8867313915857605
valonly_gallery,fusion,embedding_concat,10,0.7775715564336255,0.7850632264565216,0.8050064295339492,0.8598705501618124,0.883495145631068
valonly_gallery,single,EVA-02,10,0.6852964489760209,0.6852964489760209,0.6852964489760209,0.7669902912621359,0.7669902912621359
valonly_gallery,single,DINO-Small,1,0.6535148706548412,0.6535148706548412,0.6535148706548412,0.7799352750809061,0.7799352750809061
valonly_gallery,single,MiewID,9,0.6334386197444956,0.6334386197444956,0.6334386197444956,0.8122977346278317,0.8122977346278317
valonly_gallery,single,ConvNeXt-V2,6,0.6255164287964786,0.6255164287964786,0.6255164287964786,0.7831715210355986,0.7831715210355987
valonly_gallery,single,DINOv2-Base,1,0.549661840716022,0.549661840716022,0.549661840716022,0.6699029126213593,0.6699029126213593
valonly_gallery,single,EfficientNet-B4,1,0.4931822358742557,0.4931822358742557,0.4931822358742557,0.6407766990291263,0.6407766990291263
valonly_gallery,single,MegaDescriptor-L,2,0.4638527671006757,0.4638527671006757,0.4638527671006757,0.6375404530744336,0.6375404530744336
